                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.108,                 1.3771,                 1.2783,                0.78643,                0.34417,                0.34113,                0.22316,                    nan,                    nan,                    nan,             0.00055508,             0.00055508,             0.00055508
                      2,                 1.1284,                0.99425,                 1.2782,                0.83833,                0.34846,                0.35872,                0.24092,                    nan,                    nan,                    nan,              0.0010924,              0.0010924,              0.0010924
                      3,                 1.1453,                0.93414,                 1.2849,                 0.8535,                0.34633,                0.36062,                0.24091,                    nan,                    nan,                    nan,              0.0016114,              0.0016114,              0.0016114
                      4,                 1.1376,                0.89086,                 1.2825,                0.87491,                0.33924,                0.37796,                0.26111,                    nan,                    nan,                    nan,              0.0015845,              0.0015845,              0.0015845
                      5,                 1.0975,                0.82526,                 1.2552,                0.82657,                0.35399,                0.38157,                0.27195,                    nan,                    nan,                    nan,               0.001557,               0.001557,               0.001557
                      6,                  1.071,                0.79215,                 1.2332,                0.84217,                0.35655,                0.38195,                0.27258,                    nan,                    nan,                    nan,              0.0015295,              0.0015295,              0.0015295
                      7,                 1.0556,                0.76765,                 1.2306,                0.86418,                0.35929,                  0.382,                0.27775,                    nan,                    nan,                    nan,               0.001502,               0.001502,               0.001502
                      8,                 1.0418,                0.74664,                 1.2169,                0.87595,                0.35407,                0.39368,                0.28678,                    nan,                    nan,                    nan,              0.0014745,              0.0014745,              0.0014745
                      9,                 1.0116,                0.71903,                 1.1995,                0.88241,                0.35961,                0.39381,                0.29194,                    nan,                    nan,                    nan,               0.001447,               0.001447,               0.001447
                     10,                 1.0107,                0.70134,                 1.1979,                0.84335,                0.36042,                0.38735,                0.28006,                    nan,                    nan,                    nan,              0.0014195,              0.0014195,              0.0014195
                     11,                0.99959,                0.68889,                 1.1922,                0.88503,                0.36122,                 0.4004,                0.29799,                    nan,                    nan,                    nan,              0.0013919,              0.0013919,              0.0013919
                     12,                0.99439,                0.67549,                 1.1876,                0.87888,                0.36424,                 0.3945,                 0.2922,                    nan,                    nan,                    nan,              0.0013644,              0.0013644,              0.0013644
                     13,                0.97643,                0.66454,                 1.1767,                0.85846,                0.36501,                 0.4017,                0.29892,                    nan,                    nan,                    nan,              0.0013369,              0.0013369,              0.0013369
                     14,                0.96875,                0.65941,                 1.1682,                0.86587,                0.36212,                0.38202,                0.28491,                    nan,                    nan,                    nan,              0.0013094,              0.0013094,              0.0013094
                     15,                0.96649,                0.64722,                 1.1687,                0.90604,                 0.3634,                 0.4053,                0.30556,                    nan,                    nan,                    nan,              0.0012819,              0.0012819,              0.0012819
                     16,                0.95244,                0.63603,                 1.1595,                0.87614,                0.36833,                0.40022,                0.30007,                    nan,                    nan,                    nan,              0.0012544,              0.0012544,              0.0012544
                     17,                0.95074,                0.62411,                 1.1617,                0.86839,                0.36528,                0.40275,                0.30288,                    nan,                    nan,                    nan,              0.0012269,              0.0012269,              0.0012269
